Country_Availability,Year,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
Greece,2019.0,49.0,0.0,29.0,28.0,14.0,113.0,42.0,36.0,148.0,28.0,33.0,3.0,9.0,27.0,10.0,1.0,25.0,0.0,10.0,47.0,18.0,9.0,4.0,0.0,46.0,5.0,0.0
Greece,2020.0,45.0,0.0,32.0,39.0,9.0,134.0,41.0,44.0,169.0,44.0,25.0,2.0,9.0,21.0,12.0,3.0,33.0,0.0,20.0,72.0,22.0,12.0,13.0,1.0,62.0,2.0,2.0
Greece,2021.0,13.0,0.0,9.0,3.0,2.0,29.0,13.0,10.0,37.0,6.0,10.0,1.0,3.0,1.0,4.0,1.0,7.0,0.0,1.0,7.0,5.0,3.0,2.0,1.0,13.0,1.0,1.0
Hong Kong,2015.0,39.0,0.0,23.0,14.0,3.0,38.0,18.0,4.0,48.0,11.0,20.0,0.0,2.0,6.0,3.0,6.0,13.0,0.0,0.0,22.0,15.0,1.0,3.0,0.0,28.0,1.0,3.0
Hong Kong,2016.0,48.0,0.0,39.0,36.0,12.0,75.0,27.0,21.0,85.0,25.0,33.0,0.0,9.0,8.0,11.0,6.0,19.0,1.0,3.0,32.0,26.0,5.0,5.0,0.0,37.0,7.0,1.0
Hong Kong,2017.0,55.0,0.0,36.0,35.0,11.0,98.0,35.0,27.0,102.0,23.0,30.0,0.0,6.0,13.0,5.0,2.0,16.0,0.0,1.0,44.0,19.0,6.0,5.0,0.0,41.0,6.0,2.0
Hong Kong,2018.0,73.0,0.0,30.0,23.0,18.0,129.0,53.0,38.0,164.0,13.0,33.0,1.0,13.0,27.0,9.0,5.0,23.0,0.0,6.0,64.0,24.0,7.0,13.0,4.0,66.0,10.0,1.0
Hong Kong,2019.0,55.0,0.0,33.0,34.0,14.0,112.0,39.0,33.0,133.0,26.0,39.0,3.0,11.0,24.0,8.0,1.0,25.0,0.0,10.0,51.0,23.0,9.0,6.0,0.0,44.0,7.0,0.0
Hong Kong,2020.0,42.0,0.0,35.0,40.0,10.0,140.0,40.0,43.0,172.0,46.0,24.0,2.0,8.0,25.0,14.0,5.0,37.0,0.0,21.0,72.0,23.0,12.0,12.0,1.0,62.0,3.0,1.0
Hong Kong,2021.0,9.0,0.0,7.0,3.0,2.0,13.0,5.0,9.0,20.0,2.0,6.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0,1.0,6.0,4.0,1.0,3.0,1.0,6.0,0.0,1.0
Hungary,2015.0,28.0,0.0,21.0,11.0,3.0,40.0,11.0,6.0,45.0,12.0,17.0,0.0,1.0,7.0,3.0,3.0,12.0,0.0,0.0,21.0,15.0,1.0,1.0,0.0,19.0,0.0,1.0
Hungary,2016.0,41.0,0.0,31.0,29.0,13.0,70.0,29.0,24.0,88.0,23.0,25.0,0.0,10.0,7.0,9.0,7.0,17.0,1.0,3.0,28.0,17.0,7.0,4.0,0.0,37.0,5.0,2.0
Hungary,2017.0,60.0,0.0,29.0,30.0,13.0,110.0,45.0,35.0,143.0,27.0,27.0,0.0,11.0,16.0,7.0,5.0,23.0,0.0,2.0,52.0,15.0,8.0,4.0,0.0,54.0,6.0,2.0
Hungary,2018.0,84.0,0.0,35.0,25.0,22.0,165.0,59.0,41.0,217.0,21.0,43.0,1.0,15.0,39.0,9.0,11.0,29.0,0.0,6.0,81.0,26.0,7.0,11.0,4.0,85.0,10.0,2.0
Hungary,2019.0,56.0,0.0,35.0,33.0,15.0,120.0,41.0,36.0,162.0,30.0,36.0,3.0,8.0,31.0,10.0,2.0,29.0,0.0,10.0,51.0,20.0,10.0,4.0,0.0,57.0,6.0,0.0
Hungary,2020.0,50.0,0.0,39.0,42.0,8.0,148.0,49.0,46.0,187.0,47.0,29.0,2.0,10.0,26.0,15.0,5.0,39.0,0.0,19.0,81.0,25.0,11.0,13.0,1.0,70.0,3.0,1.0
Hungary,2021.0,12.0,0.0,9.0,3.0,2.0,28.0,11.0,10.0,36.0,6.0,10.0,1.0,3.0,2.0,4.0,1.0,6.0,0.0,1.0,6.0,6.0,3.0,2.0,1.0,11.0,1.0,1.0
Iceland,2015.0,19.0,0.0,11.0,6.0,2.0,31.0,9.0,6.0,27.0,10.0,8.0,0.0,1.0,3.0,2.0,4.0,9.0,0.0,0.0,12.0,11.0,1.0,1.0,0.0,10.0,1.0,1.0
Iceland,2016.0,40.0,0.0,29.0,31.0,9.0,64.0,22.0,22.0,79.0,23.0,23.0,0.0,10.0,3.0,8.0,6.0,16.0,1.0,3.0,25.0,17.0,6.0,2.0,0.0,28.0,5.0,2.0
Iceland,2017.0,57.0,0.0,29.0,28.0,12.0,101.0,40.0,33.0,127.0,24.0,26.0,0.0,7.0,15.0,6.0,4.0,22.0,0.0,2.0,49.0,15.0,8.0,6.0,0.0,47.0,4.0,2.0
Iceland,2018.0,76.0,0.0,30.0,21.0,15.0,152.0,57.0,40.0,200.0,20.0,34.0,1.0,13.0,33.0,8.0,12.0,26.0,0.0,6.0,74.0,22.0,8.0,10.0,4.0,77.0,8.0,1.0
Iceland,2019.0,50.0,0.0,31.0,29.0,12.0,113.0,38.0,35.0,144.0,26.0,30.0,3.0,9.0,25.0,9.0,2.0,21.0,0.0,10.0,49.0,19.0,10.0,4.0,0.0,42.0,5.0,0.0
Iceland,2020.0,49.0,0.0,35.0,40.0,9.0,136.0,40.0,45.0,168.0,49.0,25.0,2.0,8.0,22.0,13.0,5.0,36.0,0.0,20.0,70.0,23.0,11.0,13.0,1.0,62.0,2.0,1.0
Iceland,2021.0,12.0,0.0,9.0,3.0,2.0,28.0,12.0,10.0,37.0,6.0,10.0,1.0,3.0,1.0,3.0,0.0,7.0,0.0,1.0,7.0,5.0,3.0,2.0,1.0,13.0,1.0,1.0
