Country Availability,Year,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
Malaysia,2015,228.0,0.0,163.0,126.0,31.0,293.0,122.0,24.0,315.0,121.0,131.0,0.0,2.0,18.0,53.0,22.0,17.0,73.0,1.0,2.0,138.0,106.0,11.0,21.0,0.0,170.0,14.0,6.0
Malaysia,2016,107.0,0.0,64.0,60.0,26.0,129.0,60.0,43.0,189.0,40.0,63.0,0.0,0.0,20.0,32.0,17.0,8.0,40.0,1.0,4.0,70.0,45.0,13.0,12.0,0.0,84.0,11.0,1.0
Malaysia,2017,119.0,0.0,76.0,67.0,21.0,180.0,85.0,58.0,256.0,49.0,61.0,0.0,2.0,16.0,26.0,13.0,9.0,41.0,0.0,6.0,85.0,37.0,13.0,12.0,2.0,96.0,13.0,3.0
Malaysia,2018,182.0,1.0,76.0,77.0,33.0,296.0,129.0,91.0,385.0,53.0,100.0,0.0,4.0,36.0,59.0,19.0,17.0,64.0,2.0,18.0,149.0,65.0,17.0,24.0,6.0,175.0,13.0,4.0
Malaysia,2019,165.0,0.0,87.0,86.0,35.0,300.0,116.0,84.0,412.0,56.0,93.0,0.0,4.0,32.0,70.0,35.0,11.0,75.0,1.0,18.0,174.0,66.0,23.0,15.0,0.0,158.0,12.0,1.0
Malaysia,2020,147.0,0.0,92.0,110.0,30.0,366.0,132.0,101.0,507.0,100.0,86.0,0.0,9.0,28.0,79.0,30.0,20.0,94.0,1.0,42.0,212.0,58.0,30.0,33.0,2.0,189.0,12.0,8.0
Malaysia,2021,16.0,0.0,14.0,7.0,5.0,37.0,13.0,15.0,48.0,6.0,11.0,1.0,2.0,2.0,3.0,1.0,0.0,9.0,0.0,3.0,13.0,6.0,6.0,4.0,1.0,17.0,1.0,1.0
Mexico,2015,246.0,0.0,198.0,147.0,25.0,351.0,115.0,41.0,316.0,162.0,137.0,0.0,1.0,18.0,38.0,25.0,21.0,60.0,1.0,2.0,138.0,121.0,11.0,33.0,0.0,156.0,16.0,10.0
Mexico,2016,95.0,0.0,66.0,47.0,27.0,140.0,58.0,52.0,171.0,44.0,55.0,0.0,1.0,18.0,24.0,14.0,6.0,42.0,1.0,4.0,39.0,42.0,16.0,11.0,0.0,76.0,11.0,2.0
Mexico,2017,111.0,0.0,78.0,56.0,25.0,240.0,107.0,76.0,280.0,52.0,58.0,0.0,1.0,22.0,36.0,19.0,8.0,53.0,0.0,6.0,89.0,44.0,12.0,13.0,3.0,113.0,9.0,3.0
Mexico,2018,163.0,1.0,83.0,80.0,38.0,317.0,116.0,94.0,355.0,60.0,108.0,0.0,3.0,35.0,57.0,21.0,24.0,62.0,2.0,19.0,108.0,73.0,15.0,23.0,6.0,160.0,19.0,4.0
Mexico,2019,120.0,0.0,71.0,64.0,36.0,283.0,115.0,96.0,344.0,53.0,69.0,0.0,4.0,24.0,64.0,36.0,8.0,68.0,0.0,22.0,125.0,53.0,26.0,16.0,0.0,137.0,9.0,2.0
Mexico,2020,118.0,0.0,86.0,90.0,34.0,316.0,126.0,108.0,442.0,94.0,70.0,0.0,8.0,28.0,63.0,31.0,13.0,81.0,0.0,41.0,161.0,53.0,28.0,28.0,1.0,177.0,12.0,3.0
Mexico,2021,15.0,0.0,11.0,7.0,6.0,29.0,15.0,18.0,39.0,5.0,9.0,1.0,2.0,3.0,2.0,2.0,0.0,7.0,0.0,3.0,10.0,5.0,6.0,4.0,1.0,14.0,1.0,1.0
Netherlands,2015,255.0,0.0,190.0,133.0,32.0,349.0,147.0,37.0,354.0,171.0,136.0,0.0,1.0,25.0,43.0,26.0,16.0,81.0,2.0,1.0,157.0,109.0,13.0,19.0,0.0,208.0,22.0,5.0
Netherlands,2016,90.0,0.0,60.0,54.0,24.0,147.0,62.0,46.0,175.0,45.0,53.0,0.0,1.0,15.0,24.0,16.0,7.0,41.0,1.0,4.0,47.0,44.0,15.0,10.0,0.0,81.0,11.0,4.0
Netherlands,2017,101.0,0.0,68.0,54.0,23.0,218.0,91.0,73.0,236.0,48.0,53.0,0.0,1.0,18.0,29.0,20.0,7.0,43.0,0.0,5.0,78.0,37.0,12.0,14.0,2.0,102.0,9.0,3.0
Netherlands,2018,126.0,1.0,62.0,69.0,34.0,277.0,94.0,88.0,299.0,51.0,84.0,0.0,3.0,27.0,42.0,17.0,19.0,61.0,2.0,19.0,112.0,63.0,13.0,19.0,6.0,134.0,14.0,4.0
Netherlands,2019,109.0,0.0,73.0,62.0,35.0,276.0,113.0,88.0,318.0,56.0,68.0,0.0,4.0,25.0,44.0,28.0,7.0,65.0,0.0,18.0,124.0,53.0,26.0,11.0,0.0,118.0,10.0,1.0
Netherlands,2020,138.0,0.0,92.0,99.0,31.0,323.0,135.0,102.0,451.0,100.0,75.0,0.0,8.0,31.0,70.0,27.0,14.0,86.0,0.0,40.0,173.0,54.0,29.0,29.0,1.0,192.0,12.0,2.0
Netherlands,2021,15.0,0.0,14.0,7.0,6.0,45.0,16.0,17.0,61.0,10.0,15.0,1.0,2.0,3.0,3.0,3.0,0.0,10.0,0.0,3.0,10.0,8.0,8.0,4.0,1.0,20.0,0.0,1.0
Poland,2015,226.0,0.0,204.0,131.0,42.0,374.0,110.0,42.0,364.0,165.0,136.0,0.0,1.0,19.0,60.0,23.0,20.0,78.0,1.0,1.0,170.0,124.0,13.0,23.0,0.0,170.0,19.0,8.0
Poland,2016,84.0,0.0,59.0,53.0,24.0,146.0,52.0,47.0,167.0,43.0,55.0,0.0,1.0,16.0,25.0,15.0,6.0,34.0,1.0,4.0,45.0,41.0,14.0,7.0,0.0,74.0,11.0,2.0
Poland,2017,92.0,0.0,66.0,53.0,26.0,211.0,91.0,76.0,237.0,51.0,51.0,0.0,1.0,18.0,32.0,15.0,7.0,46.0,0.0,7.0,72.0,34.0,9.0,13.0,2.0,101.0,9.0,3.0
Poland,2018,117.0,1.0,64.0,69.0,32.0,264.0,88.0,86.0,287.0,44.0,80.0,0.0,3.0,29.0,42.0,15.0,13.0,56.0,3.0,19.0,105.0,61.0,14.0,16.0,6.0,123.0,15.0,3.0
Poland,2019,106.0,0.0,81.0,66.0,36.0,298.0,108.0,86.0,341.0,61.0,77.0,0.0,4.0,31.0,57.0,31.0,10.0,59.0,0.0,19.0,128.0,55.0,25.0,11.0,0.0,121.0,13.0,1.0
Poland,2020,130.0,1.0,92.0,94.0,37.0,334.0,128.0,103.0,478.0,103.0,83.0,0.0,8.0,34.0,77.0,32.0,14.0,92.0,0.0,41.0,192.0,57.0,32.0,28.0,1.0,182.0,15.0,4.0
Poland,2021,18.0,0.0,15.0,9.0,6.0,45.0,22.0,19.0,65.0,9.0,14.0,1.0,2.0,3.0,3.0,6.0,1.0,10.0,0.0,3.0,14.0,11.0,8.0,5.0,1.0,22.0,3.0,1.0
Portugal,2015,223.0,0.0,191.0,144.0,32.0,337.0,108.0,38.0,305.0,163.0,139.0,0.0,1.0,16.0,36.0,18.0,21.0,64.0,2.0,2.0,138.0,121.0,14.0,20.0,1.0,157.0,14.0,5.0
Portugal,2016,78.0,0.0,56.0,58.0,27.0,135.0,45.0,49.0,156.0,43.0,58.0,0.0,0.0,15.0,19.0,14.0,6.0,36.0,1.0,4.0,43.0,41.0,15.0,9.0,0.0,58.0,9.0,3.0
Portugal,2017,89.0,0.0,64.0,54.0,21.0,192.0,85.0,69.0,220.0,46.0,46.0,0.0,2.0,14.0,29.0,15.0,6.0,41.0,0.0,6.0,70.0,36.0,9.0,15.0,3.0,88.0,8.0,3.0
Portugal,2018,111.0,1.0,54.0,64.0,26.0,248.0,84.0,85.0,273.0,43.0,75.0,0.0,3.0,25.0,41.0,15.0,15.0,53.0,2.0,18.0,102.0,59.0,13.0,16.0,6.0,120.0,12.0,1.0
Portugal,2019,108.0,0.0,74.0,59.0,35.0,268.0,102.0,92.0,307.0,52.0,70.0,0.0,4.0,25.0,63.0,31.0,8.0,64.0,0.0,19.0,116.0,55.0,25.0,10.0,0.0,116.0,7.0,1.0
