Country Availability,Year,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
Russia,2020,87.0,0.0,62.0,54.0,23.0,243.0,76.0,59.0,319.0,73.0,46.0,0.0,0.0,15.0,41.0,22.0,11.0,44.0,0.0,1.0,131.0,28.0,23.0,23.0,122.0,10.0,3.0
Russia,2021,13.0,0.0,9.0,4.0,5.0,28.0,9.0,8.0,31.0,3.0,6.0,1.0,0.0,3.0,3.0,1.0,0.0,5.0,0.0,0.0,7.0,5.0,6.0,4.0,11.0,0.0,1.0
Singapore,2015,169.0,0.0,104.0,39.0,27.0,227.0,87.0,30.0,220.0,64.0,79.0,0.0,0.0,15.0,36.0,14.0,15.0,42.0,1.0,0.0,104.0,60.0,4.0,19.0,135.0,16.0,6.0
Singapore,2016,65.0,0.0,38.0,17.0,22.0,107.0,43.0,35.0,116.0,23.0,29.0,0.0,0.0,12.0,18.0,15.0,4.0,24.0,1.0,0.0,41.0,12.0,7.0,8.0,62.0,8.0,2.0
Singapore,2017,60.0,0.0,37.0,15.0,16.0,141.0,55.0,48.0,164.0,22.0,24.0,0.0,0.0,11.0,20.0,11.0,5.0,22.0,0.0,0.0,52.0,17.0,4.0,11.0,73.0,9.0,1.0
Singapore,2018,150.0,0.0,52.0,17.0,31.0,261.0,89.0,67.0,286.0,29.0,45.0,0.0,0.0,25.0,46.0,17.0,16.0,31.0,1.0,3.0,98.0,31.0,10.0,22.0,136.0,10.0,4.0
Singapore,2019,115.0,0.0,48.0,25.0,33.0,265.0,65.0,75.0,276.0,39.0,42.0,0.0,0.0,17.0,51.0,27.0,6.0,47.0,1.0,1.0,123.0,29.0,22.0,10.0,106.0,11.0,1.0
Singapore,2020,98.0,0.0,60.0,61.0,26.0,278.0,86.0,57.0,371.0,72.0,41.0,0.0,0.0,11.0,51.0,19.0,16.0,39.0,0.0,1.0,155.0,30.0,24.0,25.0,129.0,9.0,8.0
Singapore,2021,14.0,0.0,11.0,4.0,4.0,28.0,9.0,8.0,40.0,5.0,8.0,1.0,0.0,2.0,3.0,2.0,0.0,7.0,0.0,0.0,9.0,6.0,4.0,4.0,15.0,0.0,2.0
Slovakia,2015,186.0,0.0,127.0,39.0,47.0,241.0,94.0,37.0,285.0,75.0,86.0,0.0,0.0,16.0,43.0,14.0,13.0,54.0,1.0,0.0,130.0,73.0,5.0,20.0,160.0,18.0,6.0
Slovakia,2016,57.0,0.0,38.0,18.0,23.0,104.0,46.0,34.0,110.0,23.0,26.0,0.0,0.0,10.0,19.0,11.0,3.0,22.0,1.0,0.0,29.0,10.0,9.0,7.0,63.0,7.0,2.0
Slovakia,2017,79.0,0.0,34.0,14.0,20.0,152.0,70.0,51.0,209.0,27.0,29.0,0.0,0.0,18.0,22.0,12.0,7.0,26.0,0.0,0.0,66.0,18.0,7.0,13.0,90.0,11.0,1.0
Slovakia,2018,119.0,0.0,47.0,19.0,30.0,239.0,67.0,58.0,271.0,33.0,50.0,0.0,0.0,19.0,46.0,16.0,12.0,36.0,1.0,3.0,93.0,33.0,11.0,19.0,115.0,10.0,3.0
Slovakia,2019,102.0,0.0,49.0,27.0,37.0,285.0,77.0,75.0,307.0,52.0,48.0,0.0,0.0,19.0,49.0,28.0,5.0,47.0,1.0,2.0,115.0,26.0,24.0,12.0,115.0,11.0,1.0
Slovakia,2020,89.0,0.0,65.0,51.0,28.0,255.0,82.0,61.0,328.0,72.0,49.0,0.0,0.0,15.0,44.0,21.0,14.0,46.0,0.0,1.0,135.0,29.0,24.0,20.0,127.0,13.0,3.0
Slovakia,2021,15.0,0.0,10.0,4.0,4.0,34.0,13.0,9.0,46.0,7.0,11.0,1.0,0.0,3.0,3.0,4.0,1.0,7.0,0.0,0.0,7.0,7.0,6.0,4.0,18.0,2.0,1.0
South Africa,2015,147.0,0.0,94.0,44.0,30.0,236.0,74.0,33.0,202.0,67.0,64.0,0.0,0.0,13.0,22.0,10.0,9.0,37.0,1.0,0.0,100.0,50.0,5.0,14.0,114.0,14.0,4.0
South Africa,2016,51.0,0.0,31.0,17.0,17.0,94.0,34.0,38.0,93.0,24.0,27.0,0.0,0.0,8.0,14.0,12.0,4.0,17.0,1.0,0.0,25.0,12.0,7.0,7.0,52.0,6.0,1.0
South Africa,2017,69.0,0.0,32.0,12.0,17.0,159.0,64.0,55.0,190.0,23.0,25.0,0.0,0.0,15.0,24.0,12.0,8.0,27.0,0.0,0.0,65.0,15.0,6.0,10.0,81.0,10.0,1.0
South Africa,2018,114.0,0.0,43.0,16.0,26.0,260.0,61.0,67.0,274.0,31.0,46.0,0.0,0.0,20.0,47.0,16.0,15.0,34.0,1.0,3.0,97.0,27.0,11.0,20.0,115.0,8.0,1.0
South Africa,2019,96.0,0.0,41.0,25.0,33.0,235.0,61.0,73.0,266.0,39.0,35.0,0.0,0.0,16.0,49.0,26.0,4.0,42.0,1.0,1.0,105.0,24.0,23.0,12.0,107.0,9.0,1.0
South Africa,2020,85.0,0.0,54.0,56.0,24.0,234.0,77.0,64.0,320.0,70.0,37.0,0.0,0.0,11.0,41.0,21.0,13.0,38.0,0.0,3.0,130.0,26.0,25.0,21.0,125.0,8.0,4.0
South Africa,2021,13.0,0.0,8.0,4.0,4.0,22.0,10.0,8.0,28.0,3.0,6.0,1.0,0.0,2.0,2.0,2.0,1.0,5.0,0.0,0.0,6.0,4.0,4.0,3.0,12.0,0.0,1.0
South Korea,2015,183.0,0.0,138.0,51.0,37.0,190.0,82.0,28.0,248.0,63.0,97.0,0.0,0.0,24.0,34.0,18.0,12.0,48.0,1.0,0.0,123.0,74.0,4.0,15.0,150.0,24.0,9.0
South Korea,2016,89.0,0.0,43.0,18.0,21.0,111.0,54.0,31.0,144.0,23.0,23.0,0.0,0.0,17.0,21.0,11.0,2.0,25.0,1.0,0.0,47.0,23.0,8.0,7.0,88.0,9.0,2.0
South Korea,2017,87.0,0.0,47.0,21.0,22.0,148.0,71.0,48.0,190.0,32.0,32.0,0.0,0.0,15.0,25.0,10.0,6.0,34.0,0.0,0.0,59.0,22.0,4.0,15.0,102.0,10.0,1.0
South Korea,2018,105.0,0.0,54.0,25.0,27.0,192.0,62.0,50.0,227.0,26.0,54.0,0.0,0.0,22.0,42.0,13.0,6.0,34.0,1.0,3.0,75.0,40.0,7.0,13.0,101.0,13.0,4.0
South Korea,2019,92.0,0.0,41.0,32.0,29.0,200.0,59.0,57.0,226.0,36.0,40.0,0.0,0.0,26.0,43.0,21.0,3.0,44.0,0.0,1.0,96.0,24.0,18.0,13.0,77.0,9.0,0.0
South Korea,2020,60.0,0.0,54.0,57.0,18.0,161.0,55.0,48.0,186.0,64.0,39.0,0.0,1.0,13.0,26.0,16.0,8.0,36.0,0.0,2.0,75.0,24.0,14.0,13.0,83.0,5.0,3.0
South Korea,2021,15.0,0.0,10.0,6.0,5.0,27.0,14.0,7.0,53.0,6.0,12.0,1.0,0.0,3.0,10.0,1.0,1.0,6.0,0.0,0.0,15.0,5.0,3.0,2.0,20.0,3.0,1.0
Spain,2015,189.0,0.0,140.0,57.0,31.0,252.0,80.0,35.0,253.0,97.0,101.0,0.0,0.0,14.0,41.0,15.0,12.0,46.0,1.0,0.0,129.0,72.0,7.0,20.0,155.0,20.0,3.0
Spain,2016,42.0,0.0,29.0,17.0,24.0,88.0,35.0,36.0,104.0,24.0,24.0,0.0,0.0,10.0,13.0,11.0,4.0,22.0,1.0,0.0,36.0,10.0,8.0,8.0,50.0,6.0,2.0
Spain,2017,61.0,0.0,37.0,18.0,17.0,165.0,62.0,54.0,170.0,24.0,25.0,0.0,0.0,13.0,19.0,12.0,4.0,26.0,0.0,0.0,59.0,16.0,5.0,13.0,65.0,9.0,2.0
Spain,2018,79.0,0.0,43.0,20.0,23.0,193.0,48.0,54.0,185.0,26.0,37.0,0.0,0.0,14.0,26.0,10.0,12.0,27.0,1.0,3.0,61.0,28.0,9.0,13.0,83.0,8.0,2.0
Spain,2019,78.0,0.0,39.0,23.0,29.0,188.0,54.0,68.0,181.0,37.0,32.0,0.0,0.0,14.0,37.0,25.0,4.0,33.0,0.0,1.0,68.0,23.0,21.0,6.0,71.0,5.0,1.0
Spain,2020,74.0,0.0,51.0,56.0,26.0,226.0,72.0,60.0,299.0,65.0,38.0,0.0,0.0,11.0,34.0,23.0,12.0,37.0,0.0,1.0,120.0,24.0,22.0,18.0,113.0,10.0,2.0
Spain,2021,14.0,0.0,10.0,4.0,4.0,31.0,12.0,10.0,47.0,7.0,11.0,1.0,0.0,3.0,2.0,4.0,0.0,8.0,0.0,0.0,6.0,6.0,6.0,4.0,18.0,1.0,1.0
Sweden,2015,185.0,0.0,127.0,58.0,33.0,259.0,91.0,34.0,207.0,94.0,87.0,0.0,0.0,20.0,30.0,17.0,17.0,36.0,2.0,0.0,114.0,66.0,4.0,19.0,144.0,21.0,4.0
Sweden,2016,56.0,0.0,36.0,19.0,25.0,100.0,43.0,31.0,117.0,26.0,22.0,0.0,0.0,13.0,11.0,12.0,5.0,23.0,1.0,0.0,34.0,12.0,7.0,7.0,62.0,8.0,2.0
